method,ate,ate_pct,ci_low,ci_high,se,p_value,cohort,outcome,n,n_treated,n_control,outcome_rate,diag_ps_overlap_frac,diag_ps_min,diag_ps_max,diag_frac_clipped,diag_max_smd_raw,diag_mean_smd_raw,diag_max_smd_weighted,diag_mean_smd_weighted,diag_ess,diag_ess_frac,intervention,equipoise_def,counterfactual_risk_treated,counterfactual_risk_control,risk_ratio,e_value,e_value_ci
ato,0.12831903839280534,12.831903839280534,0.11247991585812758,0.1441581609274831,0.008081333463071123,8.936131405054518e-57,full,mortality_in_hospital,56330,3532,52798,0.06428191017219954,0.1025208592224392,0.0026954909423836638,0.971038583496621,0.21574649387537725,0.7404841578736555,0.21154647126240644,0.16177667027651774,0.05282552991056616,7679.849852443231,0.13633676286957627,intv_mechanical_ventilation,resp_failure,,,,,
unadjusted,0.11668461008059222,11.668461008059221,0.10301562298753719,0.13035359717364725,0.006974101157406084,7.774592670256925e-63,full,mortality_28d,56330,3532,52798,0.10099414166518729,0.1025208592224392,0.0026954909423836638,0.971038583496621,0.21574649387537725,0.7404841578736555,0.21154647126240644,0.16177667027651774,0.05282552991056616,7679.849852443231,0.13633676286957627,intv_mechanical_ventilation,resp_failure,,,,,
iptw,0.12203294020706201,12.2032940207062,0.10414407817166217,0.13992180224246187,0.009127138139529554,9.012792424979075e-41,full,mortality_28d,56330,3532,52798,0.10099414166518729,0.1025208592224392,0.0026954909423836638,0.971038583496621,0.21574649387537725,0.7404841578736555,0.21154647126240644,0.16177667027651774,0.05282552991056616,7679.849852443231,0.13633676286957627,intv_mechanical_ventilation,resp_failure,,,,,
aipw,0.09369752195914385,9.369752195914385,0.07803846815316409,0.10935657576512361,0.007989459974518097,9.198615393406778e-32,full,mortality_28d,56330,3532,52798,0.10099414166518729,0.1025208592224392,0.0026954909423836638,0.971038583496621,0.21574649387537725,0.7404841578736555,0.21154647126240644,0.16177667027651774,0.05282552991056616,7679.849852443231,0.13633676286957627,intv_mechanical_ventilation,resp_failure,0.189748722620933,0.09605120066178914,1.9754955827055933,3.3636912514006507,3.025962606993871
att,0.07883235184638095,7.883235184638095,0.06224889326241817,0.09541581043034372,0.008461103731890473,1.1964312653355856e-20,full,mortality_28d,56330,3532,52798,0.10099414166518729,0.1025208592224392,0.0026954909423836638,0.971038583496621,0.21574649387537725,0.7404841578736555,0.21154647126240644,0.16177667027651774,0.05282552991056616,7679.849852443231,0.13633676286957627,intv_mechanical_ventilation,resp_failure,,0.1315300490596213,,,
ato,0.10361355947503739,10.36135594750374,0.08718023061075078,0.120046888339324,0.008384505528627368,4.4240749129165734e-35,full,mortality_28d,56330,3532,52798,0.10099414166518729,0.1025208592224392,0.0026954909423836638,0.971038583496621,0.21574649387537725,0.7404841578736555,0.21154647126240644,0.16177667027651774,0.05282552991056616,7679.849852443231,0.13633676286957627,intv_mechanical_ventilation,resp_failure,,,,,
unadjusted,0.11217595196152844,11.217595196152844,0.09729035247779494,0.12706155144526193,0.007594833170991512,2.285941202324164e-49,full,mortality_90d,56330,3532,52798,0.16042961121959878,0.1025208592224392,0.0026954909423836638,0.971038583496621,0.21574649387537725,0.7404841578736555,0.21154647126240644,0.16177667027651774,0.05282552991056616,7679.849852443231,0.13633676286957627,intv_mechanical_ventilation,resp_failure,,,,,
iptw,0.1221823757595614,12.21823757595614,0.10262842308878603,0.14173632843033676,0.009976689788697365,1.7478842791430553e-34,full,mortality_90d,56330,3532,52798,0.16042961121959878,0.1025208592224392,0.0026954909423836638,0.971038583496621,0.21574649387537725,0.7404841578736555,0.21154647126240644,0.16177667027651774,0.05282552991056616,7679.849852443231,0.13633676286957627,intv_mechanical_ventilation,resp_failure,,,,,
aipw,0.08607191155839335,8.607191155839335,0.06930325336777947,0.10284056974900722,0.00855559506342102,8.274006029941515e-24,full,mortality_90d,56330,3532,52798,0.16042961121959878,0.1025208592224392,0.0026954909423836638,0.971038583496621,0.21574649387537725,0.7404841578736555,0.21154647126240644,0.16177667027651774,0.05282552991056616,7679.849852443231,0.13633676286957627,intv_mechanical_ventilation,resp_failure,0.2417780089495483,0.15570609739115496,1.5527844638104888,2.4792590329383946,2.247084826873162
att,0.07533282388342069,7.533282388342069,0.058223598497066376,0.092442049269775,0.008729357029674882,6.144589221966465e-18,full,mortality_90d,56330,3532,52798,0.16042961121959878,0.1025208592224392,0.0026954909423836638,0.971038583496621,0.21574649387537725,0.7404841578736555,0.21154647126240644,0.16177667027651774,0.05282552991056616,7679.849852443231,0.13633676286957627,intv_mechanical_ventilation,resp_failure,,0.1902390900463641,,,
ato,0.09941084530711414,9.941084530711414,0.08167080871362412,0.11715088190060416,0.009051205396334408,4.605224955063784e-28,full,mortality_90d,56330,3532,52798,0.16042961121959878,0.1025208592224392,0.0026954909423836638,0.971038583496621,0.21574649387537725,0.7404841578736555,0.21154647126240644,0.16177667027651774,0.05282552991056616,7679.849852443231,0.13633676286957627,intv_mechanical_ventilation,resp_failure,,,,,
unadjusted,0.21418312219112468,21.41831221911247,0.18667969569116677,0.24168654869108258,0.014032618311816658,1.3442002537471012e-52,equipoise,mortality_in_hospital,13039,1106,11933,0.105069407163126,0.23606104762635172,0.0059228158687182,0.9341920097822463,0.03466523506403865,0.45656704974603407,0.17968738160343928,0.15720963636317412,0.053371791734299234,2831.3107013070135,0.21714170575251274,intv_mechanical_ventilation,resp_failure,,,,,
iptw,0.1793854119196348,17.93854119196348,0.14924783506389505,0.20952298877537456,0.01537659727089943,1.8986109852504536e-31,equipoise,mortality_in_hospital,13039,1106,11933,0.105069407163126,0.23606104762635172,0.0059228158687182,0.9341920097822463,0.03466523506403865,0.45656704974603407,0.17968738160343928,0.15720963636317412,0.053371791734299234,2831.3107013070135,0.21714170575251274,intv_mechanical_ventilation,resp_failure,,,,,
aipw,0.14790387802455573,14.790387802455573,0.11902510128555152,0.17678265476355995,0.014734340511762627,1.0371594978235608e-23,equipoise,mortality_in_hospital,13039,1106,11933,0.105069407163126,0.23606104762635172,0.0059228158687182,0.9341920097822463,0.03466523506403865,0.45656704974603407,0.17968738160343928,0.15720963636317412,0.053371791734299234,2831.3107013070135,0.21714170575251274,intv_mechanical_ventilation,resp_failure,0.23917005857647414,0.0912661805519184,2.6205770541741686,4.681365020630203,4.0376382184611845
att,0.16273080631422765,16.273080631422765,0.13336130947896266,0.19210030314949264,0.014984712508458235,1.791639712349713e-27,equipoise,mortality_in_hospital,13039,1106,11933,0.105069407163126,0.23606104762635172,0.0059228158687182,0.9341920097822463,0.03466523506403865,0.45656704974603407,0.17968738160343928,0.15720963636317412,0.053371791734299234,2831.3107013070135,0.21714170575251274,intv_mechanical_ventilation,resp_failure,,0.13835418464418098,,,
